OrderID;CustomerID;EmployeeID;OrderDate;ShipperID
10248;90;5;04/07/1996;3
10249;81;6;05/07/1996;1
10250;34;4;08/07/1996;2
10251;84;3;08/07/1996;1
10252;76;4;09/07/1996;2
10253;34;3;10/07/1996;2
10254;14;5;11/07/1996;2
10255;68;9;12/07/1996;3
10256;88;3;15/07/1996;2
10257;35;4;16/07/1996;3
10258;20;1;17/07/1996;1
10259;13;4;18/07/1996;3
10260;55;4;19/07/1996;1
10261;61;4;19/07/1996;2
10262;65;8;22/07/1996;3
10263;20;9;23/07/1996;3
10264;24;6;24/07/1996;3
10265;7;2;25/07/1996;1
10266;87;3;26/07/1996;3
10267;25;4;29/07/1996;1
10268;33;8;30/07/1996;3
10269;89;5;31/07/1996;1
10270;87;1;01/08/1996;1
10271;75;6;01/08/1996;2
10272;65;6;02/08/1996;2
10273;63;3;05/08/1996;3
10274;85;6;06/08/1996;1
10275;49;1;07/08/1996;1
10276;80;8;08/08/1996;3
10277;52;2;09/08/1996;3
10278;5;8;12/08/1996;2
10279;44;8;13/08/1996;2
10280;5;2;14/08/1996;1
10281;69;4;14/08/1996;1
10282;69;4;15/08/1996;1
10283;46;3;16/08/1996;3
10284;44;4;19/08/1996;1
10285;63;1;20/08/1996;2
10286;63;8;21/08/1996;3
10287;67;8;22/08/1996;3
10288;66;4;23/08/1996;1
10289;11;7;26/08/1996;3
10290;15;8;27/08/1996;1
10291;61;6;27/08/1996;2
10292;81;1;28/08/1996;2
10293;80;1;29/08/1996;3
10294;65;4;30/08/1996;2
10295;85;2;02/09/1996;2
10296;46;6;03/09/1996;1
10297;7;5;04/09/1996;2
10298;37;6;05/09/1996;2
10299;67;4;06/09/1996;2
10300;49;2;09/09/1996;2
10301;86;8;09/09/1996;2
10302;76;4;10/09/1996;2
10303;30;7;11/09/1996;2
10304;80;1;12/09/1996;2
10305;55;8;13/09/1996;3
10306;69;1;16/09/1996;3
10307;48;2;17/09/1996;2
10308;2;7;18/09/1996;3
10309;37;3;19/09/1996;1
10310;77;8;20/09/1996;2
10311;18;1;20/09/1996;3
10312;86;2;23/09/1996;2
10313;63;2;24/09/1996;2
10314;65;1;25/09/1996;2
10315;38;4;26/09/1996;2
10316;65;1;27/09/1996;3
10317;48;6;30/09/1996;1
10318;38;8;01/10/1996;2
10319;80;7;02/10/1996;3
10320;87;5;03/10/1996;3
10321;38;3;03/10/1996;2
10322;58;7;04/10/1996;3
10323;39;4;07/10/1996;1
10324;71;9;08/10/1996;1
10325;39;1;09/10/1996;3
10326;8;4;10/10/1996;2
10327;24;2;11/10/1996;1
10328;28;4;14/10/1996;3
10329;75;4;15/10/1996;2
10330;46;3;16/10/1996;1
10331;9;9;16/10/1996;1
10332;51;3;17/10/1996;2
10333;87;5;18/10/1996;3
10334;84;8;21/10/1996;2
10335;37;7;22/10/1996;2
10336;60;7;23/10/1996;2
10337;25;4;24/10/1996;3
10338;55;4;25/10/1996;3
10339;51;2;28/10/1996;2
10340;9;1;29/10/1996;3
10341;73;7;29/10/1996;3
10342;25;4;30/10/1996;2
10343;44;4;31/10/1996;1
10344;89;4;01/11/1996;2
10345;63;2;04/11/1996;2
10346;65;3;05/11/1996;3
10347;21;4;06/11/1996;3
10348;86;4;07/11/1996;2
10349;75;7;08/11/1996;1
10350;41;6;11/11/1996;2
10351;20;1;11/11/1996;1
10352;28;3;12/11/1996;3
10353;59;7;13/11/1996;3
10354;58;8;14/11/1996;3
10355;4;6;15/11/1996;1
10356;86;6;18/11/1996;2
10357;46;1;19/11/1996;3
10358;41;5;20/11/1996;1
10359;72;5;21/11/1996;3
10360;7;4;22/11/1996;3
10361;63;1;22/11/1996;2
10362;9;3;25/11/1996;1
10363;17;4;26/11/1996;3
10364;19;1;26/11/1996;1
10365;3;3;27/11/1996;2
10366;29;8;28/11/1996;2
10367;83;7;28/11/1996;3
10368;20;2;29/11/1996;2
10369;75;8;02/12/1996;2
10370;14;6;03/12/1996;2
10371;41;1;03/12/1996;1
10372;62;5;04/12/1996;2
10373;37;4;05/12/1996;3
10374;91;1;05/12/1996;3
10375;36;3;06/12/1996;2
10376;51;1;09/12/1996;2
10377;72;1;09/12/1996;3
10378;24;5;10/12/1996;3
10379;61;2;11/12/1996;1
10380;37;8;12/12/1996;3
10381;46;3;12/12/1996;3
10382;20;4;13/12/1996;1
10383;4;8;16/12/1996;3
10384;5;3;16/12/1996;3
10385;75;1;17/12/1996;2
10386;21;9;18/12/1996;3
10387;70;1;18/12/1996;2
10388;72;2;19/12/1996;1
10389;10;4;20/12/1996;2
10390;20;6;23/12/1996;1
10391;17;3;23/12/1996;3
10392;59;2;24/12/1996;3
10393;71;1;25/12/1996;3
10394;36;1;25/12/1996;3
10395;35;6;26/12/1996;1
10396;25;1;27/12/1996;3
10397;60;5;27/12/1996;1
10398;71;2;30/12/1996;3
10399;83;8;31/12/1996;3
10400;19;1;01/01/1997;3
10401;65;1;01/01/1997;1
10402;20;8;02/01/1997;2
10403;20;4;03/01/1997;3
10404;49;2;03/01/1997;1
10405;47;1;06/01/1997;1
10406;62;7;07/01/1997;1
10407;56;2;07/01/1997;2
10408;23;8;08/01/1997;1
10409;54;3;09/01/1997;1
10410;10;3;10/01/1997;3
10411;10;9;10/01/1997;3
10412;87;8;13/01/1997;2
10413;41;3;14/01/1997;2
10414;21;2;14/01/1997;3
10415;36;3;15/01/1997;1
10416;87;8;16/01/1997;3
10417;73;4;16/01/1997;3
10418;63;4;17/01/1997;1
10419;68;4;20/01/1997;2
10420;88;3;21/01/1997;1
10421;61;8;21/01/1997;1
10422;27;2;22/01/1997;1
10423;31;6;23/01/1997;3
10424;51;7;23/01/1997;2
10425;41;6;24/01/1997;2
10426;29;4;27/01/1997;1
10427;59;4;27/01/1997;2
10428;66;7;28/01/1997;1
10429;37;3;29/01/1997;2
10430;20;4;30/01/1997;1
10431;10;4;30/01/1997;2
10432;75;3;31/01/1997;2
10433;60;3;03/02/1997;3
10434;24;3;03/02/1997;2
10435;16;8;04/02/1997;2
